ID,Title,Author,Genre,Published_Date
824,Quality-focused multi-tasking access,Michael Johnson,Science Fiction,12/08/95
825,Distributed coherent policy,Kerry Warren,Science Fiction,07/10/14
826,Diverse impactful task-force,Kerry Warren,Horror,10/11/23
827,Fundamental reciprocal help-desk,Danielle Lee,Science Fiction,16/12/46
828,Profound responsive definition,Andrew Adams,Thriller,13/07/97
829,Focused 4thgeneration budgetary management,Michael Johnson,Horror,25/03/89
830,Stand-alone contextually-based core,Danielle Lee,Thriller,21/01/76
831,Profit-focused national emulation,Michael Johnson,Thriller,07/01/76
832,Intuitive grid-enabled capability,Kerry Warren,Romance,15/09/80
833,Inverse motivating methodology,Michael Johnson,Fantasy,05/04/86
834,Synergistic systemic knowledge user,Michael Johnson,Fantasy,15/08/12
835,Down-sized maximized protocol,Andrew Adams,Horror,31/08/83
836,Robust mission-critical core,Kerry Warren,Horror,27/01/78
837,Object-based systematic structure,Danielle Lee,Thriller,25/07/88
838,Cross-platform real-time concept,Andrew Adams,Romance,16/02/84
839,Optional fault-tolerant standardization,Michael Johnson,Thriller,20/08/15
840,Integrated 24/7 matrix,Danielle Lee,Fantasy,23/11/85
841,Focused exuding implementation,Andrew Adams,Thriller,14/05/67
842,Ameliorated uniform support,Kerry Warren,Mystery,20/09/93
843,Cross-group tangible architecture,Andrew Adams,Mystery,19/02/57
844,Stand-alone directional benchmark,Andrew Adams,Horror,20/06/23
845,Proactive national synergy,Michael Johnson,Science Fiction,03/02/00
846,Proactive next generation array,Danielle Lee,Horror,14/09/31
847,Reverse-engineered content-based product,Danielle Lee,Thriller,06/01/13
848,Decentralized maximized circuit,Michael Johnson,Science Fiction,28/07/20
849,Optimized demand-driven attitude,Andrew Adams,Science Fiction,07/05/86
850,Automated human-resource support,Danielle Lee,Fantasy,19/09/95
851,Right-sized dedicated process improvement,Andrew Adams,Science Fiction,03/03/32
852,Devolved system-worthy success,Kerry Warren,Horror,21/02/74
853,Switchable disintermediate hardware,Kerry Warren,Fantasy,03/07/01
854,Fundamental explicit orchestration,Danielle Lee,Thriller,06/08/66
855,Diverse homogeneous orchestration,Kerry Warren,Horror,18/07/35
856,Versatile incremental conglomeration,Kerry Warren,Mystery,30/12/12
857,Seamless modular open system,Danielle Lee,Science Fiction,23/09/02
858,Advanced modular utilization,Andrew Adams,Thriller,27/03/79
859,Programmable 4thgeneration definition,Andrew Adams,Science Fiction,07/07/83
860,Synergized methodical Graphic Interface,Andrew Adams,Mystery,11/09/25
861,Operative systematic info-mediaries,Kerry Warren,Romance,12/09/69
862,Programmable real-time secured line,Michael Johnson,Mystery,25/06/02
863,Fully-configurable well-modulated extranet,Danielle Lee,Fantasy,05/04/70
864,Object-based 24/7 adapter,Andrew Adams,Fantasy,13/08/05
865,Customer-focused interactive monitoring,Kerry Warren,Science Fiction,24/02/81
866,Progressive motivating project,Michael Johnson,Science Fiction,11/02/52
867,Visionary logistical standardization,Kerry Warren,Fantasy,06/10/78
868,Devolved multimedia access,Andrew Adams,Thriller,07/02/20
869,Horizontal incremental artificial intelligence,Michael Johnson,Horror,10/06/08
870,Mandatory intermediate contingency,Michael Johnson,Horror,06/01/12
871,Synergistic 6thgeneration utilization,Danielle Lee,Thriller,15/07/38
872,Open-architected human-resource encryption,Kerry Warren,Thriller,26/04/96
873,Multi-layered eco-centric matrices,Michael Johnson,Mystery,17/05/24
874,Cross-platform systemic matrix,Kerry Warren,Fantasy,08/01/04
875,Object-based multimedia customer loyalty,Michael Johnson,Science Fiction,13/08/03
876,Front-line human-resource projection,Michael Johnson,Mystery,22/02/34
877,Reduced real-time instruction set,Andrew Adams,Science Fiction,24/08/67
878,Persistent local structure,Andrew Adams,Thriller,22/01/32
879,Inverse full-range functionalities,Michael Johnson,Thriller,01/01/42
880,Synergistic homogeneous Internet solution,Danielle Lee,Science Fiction,16/02/78
881,Robust user-facing Graphical User Interface,Kerry Warren,Science Fiction,23/03/46
882,Object-based 3rdgeneration initiative,Danielle Lee,Mystery,21/08/60
883,Secured exuding groupware,Danielle Lee,Mystery,13/10/54
884,Down-sized neutral attitude,Michael Johnson,Mystery,20/08/80
885,Monitored even-keeled methodology,Danielle Lee,Mystery,26/08/99
886,Cross-group 4thgeneration archive,Danielle Lee,Fantasy,31/01/77
887,Progressive methodical instruction set,Danielle Lee,Mystery,20/05/08
888,Ameliorated encompassing utilization,Michael Johnson,Mystery,20/05/98
889,Devolved 24hour framework,Danielle Lee,Science Fiction,30/01/47
890,Right-sized methodical projection,Danielle Lee,Science Fiction,14/01/40
891,Phased systemic toolset,Kerry Warren,Fantasy,10/01/99
892,Phased 24hour instruction set,Kerry Warren,Romance,19/05/67
893,Profit-focused scalable extranet,Michael Johnson,Thriller,09/12/80
894,Enterprise-wide composite methodology,Kerry Warren,Thriller,08/04/74
895,Customer-focused fresh-thinking secured line,Michael Johnson,Fantasy,01/12/15
896,User-centric regional artificial intelligence,Danielle Lee,Horror,06/05/76
897,Pre-emptive user-facing encryption,Kerry Warren,Mystery,29/04/35
898,Digitized encompassing protocol,Michael Johnson,Horror,29/11/35
899,Visionary full-range neural-net,Andrew Adams,Science Fiction,16/12/81
900,Inverse directional solution,Andrew Adams,Fantasy,03/11/12
901,Multi-lateral fault-tolerant system engine,Michael Johnson,Horror,07/08/98
902,Ergonomic dedicated core,Andrew Adams,Horror,29/05/43
903,Enterprise-wide systematic database,Kerry Warren,Mystery,11/03/78
904,Operative bi-directional artificial intelligence,Kerry Warren,Science Fiction,12/12/29
905,Cross-platform heuristic throughput,Michael Johnson,Fantasy,23/10/70
906,Multi-lateral well-modulated throughput,Michael Johnson,Thriller,07/10/07
907,Seamless object-oriented approach,Michael Johnson,Horror,29/01/67
908,Down-sized asynchronous knowledge user,Andrew Adams,Mystery,19/09/20
909,User-friendly encompassing framework,Michael Johnson,Fantasy,04/03/81
910,Visionary mobile product,Danielle Lee,Thriller,09/08/62
911,Intuitive systemic access,Michael Johnson,Horror,29/12/00
912,Advanced bottom-line flexibility,Michael Johnson,Science Fiction,24/05/08
913,Re-engineered intermediate knowledge user,Kerry Warren,Mystery,28/10/04
914,Reactive human-resource parallelism,Andrew Adams,Thriller,26/06/64
915,Object-based multi-tasking emulation,Danielle Lee,Romance,09/02/58
916,Customer-focused scalable knowledgebase,Michael Johnson,Horror,23/10/64
917,Phased real-time concept,Michael Johnson,Romance,05/10/25
918,Profound encompassing benchmark,Danielle Lee,Fantasy,14/10/16
919,Public-key needs-based system engine,Danielle Lee,Science Fiction,08/10/45
920,Fully-configurable background focus group,Michael Johnson,Science Fiction,04/02/11
921,Diverse non-volatile concept,Kerry Warren,Mystery,27/05/71
922,Balanced regional monitoring,Andrew Adams,Thriller,17/01/28
923,Universal global orchestration,Michael Johnson,Thriller,18/11/69
924,Universal well-modulated portal,Kerry Warren,Horror,14/07/54
925,Quality-focused responsive capability,Andrew Adams,Thriller,20/01/16
926,Enhanced non-volatile policy,Danielle Lee,Thriller,10/09/06
927,Fundamental interactive ability,Michael Johnson,Thriller,08/05/42
928,Persistent value-added installation,Danielle Lee,Horror,19/07/33
929,Re-contextualized asynchronous circuit,Danielle Lee,Thriller,04/12/66
930,Automated asymmetric portal,Danielle Lee,Horror,09/10/20
931,Sharable maximized artificial intelligence,Kerry Warren,Mystery,24/02/49
932,Innovative holistic knowledge user,Kerry Warren,Science Fiction,18/01/55
933,Open-source background architecture,Michael Johnson,Science Fiction,30/01/75
934,Expanded discrete project,Michael Johnson,Thriller,27/09/39
935,Optimized client-server architecture,Michael Johnson,Romance,04/10/60
936,Optimized bi-directional workforce,Kerry Warren,Mystery,14/04/97
937,Programmable tertiary model,Andrew Adams,Fantasy,26/11/73
938,Ergonomic neutral frame,Kerry Warren,Science Fiction,02/07/97
939,Persevering maximized website,Michael Johnson,Thriller,25/01/31
940,Cross-platform local core,Danielle Lee,Science Fiction,25/03/30
941,Managed 24/7 intranet,Andrew Adams,Mystery,16/07/16
942,Distributed client-driven time-frame,Danielle Lee,Thriller,24/12/04
943,Object-based foreground intranet,Andrew Adams,Science Fiction,28/06/79
944,Enhanced attitude-oriented structure,Danielle Lee,Thriller,01/10/65
945,Virtual uniform moratorium,Andrew Adams,Science Fiction,30/05/85
946,Customizable multimedia alliance,Kerry Warren,Horror,06/06/49
947,Team-oriented analyzing synergy,Kerry Warren,Thriller,04/08/39
948,Multi-channeled mobile portal,Kerry Warren,Horror,26/06/34
949,Face-to-face regional encryption,Andrew Adams,Romance,24/09/46
950,Pre-emptive regional throughput,Michael Johnson,Romance,26/07/02
951,Ameliorated regional process improvement,Michael Johnson,Thriller,28/07/45
952,Public-key reciprocal conglomeration,Michael Johnson,Romance,16/10/12
953,Profound client-server ability,Andrew Adams,Fantasy,28/10/93
954,Business-focused leadingedge moratorium,Kerry Warren,Thriller,07/04/00
955,Polarized modular conglomeration,Danielle Lee,Horror,27/10/63
956,Horizontal system-worthy structure,Kerry Warren,Horror,11/12/64
957,Distributed responsive flexibility,Andrew Adams,Mystery,30/04/84
958,Function-based tangible leverage,Andrew Adams,Mystery,10/03/22
959,Robust fresh-thinking utilization,Michael Johnson,Fantasy,08/10/92
960,Proactive 4thgeneration parallelism,Michael Johnson,Horror,10/10/76
961,Intuitive solution-oriented info-mediaries,Michael Johnson,Thriller,01/03/94
962,Ergonomic maximized concept,Kerry Warren,Fantasy,25/08/08
963,Vision-oriented tangible benchmark,Danielle Lee,Mystery,04/10/86
964,Public-key bottom-line workforce,Andrew Adams,Horror,28/01/48
965,Versatile coherent instruction set,Danielle Lee,Romance,30/05/79
966,Enterprise-wide contextually-based monitoring,Andrew Adams,Thriller,14/04/22
967,De-engineered grid-enabled system engine,Michael Johnson,Horror,15/04/03
968,Monitored systematic projection,Kerry Warren,Horror,31/01/29
969,Function-based radical support,Danielle Lee,Horror,29/04/04
970,Decentralized transitional policy,Andrew Adams,Science Fiction,13/03/81
971,Customizable analyzing array,Danielle Lee,Romance,21/09/79
972,De-engineered human-resource focus group,Michael Johnson,Thriller,13/04/51
973,Team-oriented global ability,Kerry Warren,Thriller,30/12/87
974,Persistent tangible alliance,Andrew Adams,Mystery,12/06/67
975,Object-based mission-critical orchestration,Michael Johnson,Mystery,23/10/60
976,Advanced intangible intranet,Michael Johnson,Science Fiction,07/07/06
977,Face-to-face regional knowledgebase,Kerry Warren,Mystery,25/05/10
978,Cross-platform high-level extranet,Kerry Warren,Horror,05/05/82
979,Assimilated demand-driven challenge,Michael Johnson,Romance,27/09/85
980,Front-line object-oriented analyzer,Andrew Adams,Science Fiction,28/10/63
981,Progressive exuding Local Area Network,Michael Johnson,Mystery,01/11/27
982,Quality-focused reciprocal parallelism,Danielle Lee,Romance,28/09/46
983,Operative even-keeled benchmark,Danielle Lee,Thriller,04/10/09
984,Vision-oriented radical challenge,Michael Johnson,Horror,19/08/20
985,Right-sized well-modulated superstructure,Andrew Adams,Romance,01/06/42
986,Integrated intangible Graphical User Interface,Kerry Warren,Mystery,08/09/42
987,Fundamental global circuit,Danielle Lee,Thriller,24/10/43
988,Reduced hybrid algorithm,Danielle Lee,Romance,01/10/30
989,Profound contextually-based superstructure,Michael Johnson,Science Fiction,30/08/33
990,Quality-focused tertiary moderator,Michael Johnson,Science Fiction,16/11/99
991,Intuitive zero-defect forecast,Danielle Lee,Mystery,11/09/51
992,Networked leadingedge ability,Michael Johnson,Mystery,25/06/36
993,Integrated next generation matrix,Kerry Warren,Fantasy,18/11/53
994,Ameliorated optimizing success,Kerry Warren,Science Fiction,08/12/84
995,Front-line incremental circuit,Kerry Warren,Thriller,20/02/54
996,Quality-focused didactic capability,Danielle Lee,Fantasy,01/04/63
997,Versatile mobile hub,Kerry Warren,Mystery,31/03/73
998,Open-architected uniform flexibility,Danielle Lee,Fantasy,21/11/88
999,Team-oriented multi-state core,Kerry Warren,Mystery,11/05/21
1000,De-engineered holistic moratorium,Andrew Adams,Science Fiction,07/03/61
